Experiment,Iteration,Time
1,1,0.052
1,2,0.053
1,3,0.053
1,4,0.053
1,5,0.055
1,6,0.053
1,7,0.053
1,8,0.054
1,9,0.053
1,10,0.053
1,11,0.053
1,12,0.055
1,13,0.055
1,14,0.053
1,15,0.056
1,16,0.063
1,17,0.054
1,18,0.054
1,19,0.054
1,20,0.054
1,21,0.053
1,22,0.054
1,23,0.054
1,24,0.053
1,25,0.053
1,26,0.052
1,27,0.054
1,28,0.054
1,29,0.056
1,30,0.053
1,31,0.053
1,32,0.054
1,33,0.054
1,34,0.055
1,35,0.055
1,36,0.053
1,37,0.054
1,38,0.052
1,39,0.053
1,40,0.053
1,41,0.053
1,42,0.053
1,43,0.053
1,44,0.055
1,45,0.055
1,46,0.054
1,47,0.056
1,48,0.054
1,49,0.056
1,50,0.064
2,1,0.056
2,2,0.056
2,3,0.057
2,4,0.06
2,5,0.059
2,6,0.054
2,7,0.055
2,8,0.054
2,9,0.054
2,10,0.054
2,11,0.055
2,12,0.06
2,13,0.056
2,14,0.056
2,15,0.055
2,16,0.054
2,17,0.054
2,18,0.056
2,19,0.054
2,20,0.054
2,21,0.056
2,22,0.056
2,23,0.058
2,24,0.056
2,25,0.06
2,26,0.057
2,27,0.057
2,28,0.056
2,29,0.058
2,30,0.057
2,31,0.059
2,32,0.056
2,33,0.055
2,34,0.057
2,35,0.058
2,36,0.057
2,37,0.055
2,38,0.057
2,39,0.055
2,40,0.057
2,41,0.056
2,42,0.056
2,43,0.056
2,44,0.057
2,45,0.056
2,46,0.058
2,47,0.055
2,48,0.056
2,49,0.056
2,50,0.056
3,1,0.058
3,2,0.056
3,3,0.057
3,4,0.056
3,5,0.058
3,6,0.054
3,7,0.054
3,8,0.055
3,9,0.055
3,10,0.055
3,11,0.055
3,12,0.055
3,13,0.056
3,14,0.059
3,15,0.06
3,16,0.054
3,17,0.057
3,18,0.055
3,19,0.055
3,20,0.054
3,21,0.054
3,22,0.055
3,23,0.055
3,24,0.054
3,25,0.055
3,26,0.054
3,27,0.056
3,28,0.056
3,29,0.054
3,30,0.056
3,31,0.054
3,32,0.056
3,33,0.054
3,34,0.055
3,35,0.057
3,36,0.054
3,37,0.055
3,38,0.055
3,39,0.055
3,40,0.055
3,41,0.055
3,42,0.055
3,43,0.055
3,44,0.055
3,45,0.055
3,46,0.056
3,47,0.055
3,48,0.057
3,49,0.055
3,50,0.056
4,1,0.055
4,2,0.056
4,3,0.054
4,4,0.06
4,5,0.054
4,6,0.055
4,7,0.057
4,8,0.055
4,9,0.056
4,10,0.056
4,11,0.055
4,12,0.055
4,13,0.055
4,14,0.055
4,15,0.064
4,16,0.058
4,17,0.056
4,18,0.057
4,19,0.057
4,20,0.056
4,21,0.057
4,22,0.056
4,23,0.055
4,24,0.054
4,25,0.056
4,26,0.056
4,27,0.054
4,28,0.056
4,29,0.054
4,30,0.055
4,31,0.054
4,32,0.056
4,33,0.055
4,34,0.056
4,35,0.057
4,36,0.054
4,37,0.055
4,38,0.056
4,39,0.055
4,40,0.055
4,41,0.055
4,42,0.055
4,43,0.055
4,44,0.055
4,45,0.055
4,46,0.058
4,47,0.055
4,48,0.055
4,49,0.056
4,50,0.057
5,1,0.055
5,2,0.054
5,3,0.053
5,4,0.055
5,5,0.055
5,6,0.055
5,7,0.054
5,8,0.054
5,9,0.054
5,10,0.056
5,11,0.054
5,12,0.055
5,13,0.055
5,14,0.053
5,15,0.055
5,16,0.069
5,17,0.059
5,18,0.059
5,19,0.057
5,20,0.058
